id;critical_words_max_file_size;critical_words_max_words;additional_context_max_file_size;additional_context_max_file_words;min_occurency_context;windows_max_words
1;69189;44842;65196;99445;22426;17592
2;71217;1807;23724;49389;32539;17882
3;74649;36646;64963;74417;84922;72093
4;65761;30806;56830;54254;9367;50881
5;36771;63633;26520;25046;24398;58987
6;97301;97889;39309;48674;89204;90609
7;63113;43439;79481;35007;50263;64510
8;57690;66892;49251;86416;19524;23018
9;72245;49919;28077;57200;2431;76855
10;64547;4360;17711;99455;94045;46994
