id;insert_ts;last_updat_ts;status;rpk_link
1;2019-09-30T09:04:46;2019-09-30T09:31:18;ubiquitous;Public-key Granite
2;2019-09-29T22:34:06;2019-09-29T23:34:06;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter
3;2019-09-30T01:29:18;2019-09-29T23:01:40;Orchestrator deliver;Licensed hacking installation
4;2019-09-30T05:50:19;2019-09-29T17:36:56;HDD;Algerian Dinar
5;2019-09-30T09:55:01;2019-09-29T17:14:51;open-source turn-key;Sausages
6;2019-09-29T17:43:57;2019-09-30T00:46:24;Cambridgeshire hacking;bricks-and-clicks Concrete Global
7;2019-09-29T13:15:33;2019-09-29T17:36:59;Profound;parsing
8;2019-09-29T20:59:25;2019-09-29T21:54:57;content-based Executive;Customer Human deposit
9;2019-09-30T02:10:42;2019-09-30T03:37:20;Saint Helena Pound programming;AI optical invoice
10;2019-09-30T08:17:44;2019-09-29T11:51:36;solid state;Home Loan Account Tools Unbranded
