id;name;lang_code;country_code;lm_standard_code;path;insert_ts;last_update_ts;activated
1;mobile Fish;77969;59865;59685;Dam;2019-09-30T10:35:31;2019-09-30T11:35:51;false
2;seamless Metal deposit;5641;96990;72199;Implementation Electronics Officer;2019-09-29T22:10:19;2019-09-30T05:41:23;true
3;Grocery Home;52477;61185;39986;Gorgeous Frozen Pants;2019-09-30T07:24:18;2019-09-30T02:02:45;false
4;Savings Account syndicate Planner;46676;4645;85994;Yuan Renminbi Centers;2019-09-30T12:40:23;2019-09-29T14:13:06;true
5;South Dakota envisioneer Music;23089;68423;24102;Bahamian Dollar Investment Account;2019-09-29T16:59:42;2019-09-30T12:09:58;false
6;incentivize Tuna copy;42515;52006;20794;Georgia Industrial;2019-09-29T16:46:37;2019-09-29T18:23:18;false
7;e-enable Communications capacitor;32654;8849;57044;Aruba;2019-09-29T13:55:25;2019-09-30T05:11:01;true
8;compress South Georgia and the South Sandwich Islands;58675;35675;96525;Home Loan Account;2019-09-30T06:22:03;2019-09-30T09:36:33;false
9;Car Industrial deliverables;39488;19871;29348;Jewelery;2019-09-30T08:13:09;2019-09-29T20:01:37;true
10;1080p Checking Account Identity;65107;11586;91495;generating Highway Ergonomic;2019-09-30T04:05:31;2019-09-30T05:31:41;true
